datetime,no2-A,no2-W,o3-A,o3-W,co-A,co-W,temperature,pressure,humidity,pt,nc,epa-o3,epa-no2,co,epa-temperature,epa-humidity
2017-09-21 10:21:00-07:00,302.3279762,277.4084657,425.4129826,426.62864449999995,324.46302690000005,271.742668,27.1,995.72,47.117999999999995,326.0349498,244.84184670000005,0.047,0.003,164.6,70.3,60.0
2017-09-21 10:22:00-07:00,302.3561021,276.8834499999999,424.7785882,426.6411451,330.0131961,272.31143529999997,27.1,995.7599999999999,47.179,326.072451,244.80122039999998,0.047,0.003,190.3,70.8,60.0
2017-09-21 10:23:00-07:00,302.56235860000004,277.21470989999995,425.2161016,426.90990320000003,321.60043930000006,272.22080750000003,27.1,995.8100000000001,46.971999999999994,326.0880765,244.84809690000003,0.046,0.003,192.4,71.1,60.0
2017-09-21 10:24:00-07:00,302.0467178,277.4428419,424.61295820000004,426.6723961999999,320.24414809999996,273.23646340000005,27.149999999999995,995.75,46.966,326.1224526,244.86059729999997,0.046,0.003,195.6,71.3,60.0
2017-09-21 10:25:00-07:00,302.42485419999997,276.5615649,424.47857910000005,426.63802,317.51593990000003,271.6520402,27.199999999999996,995.72,47.04599999999999,326.1599538,244.8668475,0.045,0.003,176.7,71.6,59.0
2017-09-21 10:26:00-07:00,302.12172,276.1396772,425.40360730000003,426.6598957,317.6753197,272.270809,27.199999999999996,995.6700000000001,47.117000000000004,326.2099554,244.89184830000005,0.046,0.003,225.1,71.3,60.0
2017-09-21 10:27:00-07:00,302.5279825,276.592816,424.3160741,426.38801220000005,318.2159613,271.1551501,27.22,995.6800000000001,47.117999999999995,326.2349562,244.84184670000005,0.046,0.003,199.3,70.8,60.0
2017-09-21 10:28:00-07:00,301.88733790000003,276.72094500000003,423.9973143,426.87240189999994,317.86907569999994,270.9988952,27.300000000000004,995.71,46.955,326.2974582,244.88872320000002,0.045,0.003,187.3,71.1,61.0
2017-09-21 10:29:00-07:00,302.56860859999995,276.5803155,425.2036011,426.7911497,318.44721820000007,271.78641920000007,27.300000000000004,995.7,46.843,326.3505848,244.91684909999998,0.043,0.003,233.1,71.7,60.0
2017-09-21 10:30:00-07:00,301.7092074,276.17405310000004,424.7442121,426.62864470000005,318.0878322,271.5051606,27.310000000000002,995.72,47.107000000000006,326.3912104,244.87309769999996,0.046,0.003,212.5,71.8,59.0
2017-09-21 10:31:00-07:00,301.5279518000001,277.2459607999999,424.5035798,426.6473952,318.9878598,271.74579309999996,27.4,995.6700000000003,46.637,326.41933630000005,244.85122200000006,0.047,0.003,148.3,71.4,59.0
2017-09-21 10:32:00-07:00,301.7029573,276.83032320000007,425.5536118,426.88802749999996,319.5972532,272.0958037,27.4,995.6899999999999,46.584,326.45996239999994,244.85122200000006,0.047,0.003,176.4,70.8,60.0
2017-09-21 10:33:00-07:00,301.8717126,277.1303324,424.24419689999996,426.8474015,318.2722129,271.1051483,27.43,995.7300000000001,46.664,326.48183809999995,244.8762228,0.046,0.003,219.7,71.0,60.0
2017-09-21 10:34:00-07:00,301.42482370000005,275.5209082,424.441078,426.6973967,321.6004395,271.98017519999996,27.5,995.7299999999999,46.636,326.5287146,244.89184829999994,0.045,0.004,211.8,71.0,60.0
2017-09-21 10:35:00-07:00,301.77483450000005,276.5959411,425.0035951,427.16303589999995,327.99125949999996,273.7802302,27.5,995.7499999999998,46.253,326.57871620000003,244.8449718,0.046,0.004,223.7,70.8,60.0
2017-09-21 10:36:00-07:00,302.024842,276.88657479999995,424.6004576,426.78489930000006,323.2348642,272.60519439999996,27.559999999999995,995.74,46.442,326.58809149999996,244.84809690000003,0.046,0.004,196.4,71.0,60.0
2017-09-21 10:37:00-07:00,301.9967161999999,277.3365886,424.26294740000003,426.72864790000006,319.9941404,272.05830260000005,27.6,995.76,46.51899999999999,326.6287178,244.84497180000002,0.047,0.004,190.3,70.6,61.0
2017-09-21 10:38:00-07:00,301.0404371,276.4271858999999,424.7129613,427.03490700000003,322.56921889999995,272.5520676,27.6,995.7700000000001,46.40299999999999,326.6724692,244.8668475,0.046,0.003,166.2,70.8,61.0
2017-09-21 10:39:00-07:00,301.0810633,276.9459517,424.70358580000004,426.6661459,321.1191747,273.34896710000004,27.639999999999997,995.8,46.141,326.7099704,244.8293463,0.045,0.002,232.8,71.0,61.0
2017-09-21 10:40:00-07:00,300.93418379999997,276.4334361,424.0441908000001,426.7130223000001,327.6724998,274.7958859,27.699999999999996,995.79,46.104,326.74434649999995,244.8637224,0.045,0.003,258.3,71.3,60.0
2017-09-21 10:41:00-07:00,300.8810571,276.10842610000003,424.4942046,427.00678129999994,318.89098179999996,272.6395703,27.699999999999996,995.79,45.94599999999999,326.7662222,244.84809690000003,0.046,0.003,189.3,71.0,61.0
2017-09-21 10:42:00-07:00,300.6779259,276.5928161,424.0129398,426.6130190999999,317.1596788,272.7833247,27.73,995.8299999999999,45.934,326.7880979,244.85434709999998,0.045,0.003,207.3,71.0,61.0
2017-09-21 10:43:00-07:00,300.66542560000005,276.4521867,424.17231979999997,426.7880245,315.4190007000001,272.23330799999997,27.800000000000004,995.79,45.899,326.8412246,244.84809689999997,0.045,0.003,212.1,70.9,61.0
2017-09-21 10:44:00-07:00,300.5247964,277.052205,424.7098361,427.0161566,313.4064394,273.677102,27.800000000000004,995.85,45.751000000000005,326.84434969999995,244.8355965,0.046,0.003,179.0,70.4,62.0
2017-09-21 10:45:00-07:00,300.82793060000006,277.04908,424.7504624,426.7567735999999,311.80639069999995,273.3145908,27.800000000000004,995.8199999999999,45.607,326.8881011,244.89497340000003,0.046,0.003,157.3,70.4,62.0
2017-09-21 10:46:00-07:00,300.92480850000004,276.8490737,425.1285989,426.834901,312.90954939999995,273.77085470000003,27.810000000000002,995.8199999999999,45.63199999999999,326.9099768,244.8637224,0.046,0.002,144.9,70.1,62.0
2017-09-21 10:47:00-07:00,301.1935667,278.0491103,423.9379376,426.4942656,314.49397250000004,273.1364606,27.870000000000005,995.7399999999998,45.688,326.9256023,244.7887202,0.046,0.002,185.4,70.4,63.0
2017-09-21 10:48:00-07:00,300.78417909999996,277.0459548,424.6098331,426.9349039999999,311.14699529999996,273.2927151999999,27.9,995.7699999999999,45.598,326.95685330000003,244.77621990000003,0.045,0.002,176.1,70.5,62.0
