datetime,no2-A,no2-W,o3-A,o3-W,co-A,co-W,temperature,pressure,humidity,pt,nc,epa-no2,epa-o3
2017-09-18 00:07:00-07:00,296.42154600000003,298.4403577,427.77555459999996,417.525242,304.2061585,254.63902090000002,24.0,999.49,45.99300000000001,326.00682390000003,71.78344100000001,0.006999999999999999,0.027000000000000003
2017-09-18 00:08:00-07:00,296.2184148,297.8497146,428.07556380000005,417.7783746,303.06862390000003,254.19525740000003,24.0,999.49,46.143,325.9911984,71.7928163,0.0072,0.0267
2017-09-18 00:09:00-07:00,295.66839820000007,298.35910509999997,427.1724112,417.5596179000001,303.6561419,254.09837959999996,23.990000000000002,999.5200000000001,46.160000000000004,325.92869640000004,71.75219000000001,0.0075,0.0263
2017-09-18 00:10:00-07:00,296.45279700000003,298.2653524,426.5973937,416.7970945999999,304.2936615,254.76089969999998,23.900000000000002,999.4699999999999,46.22099999999999,325.916196,71.74906490000001,0.0077,0.0265
2017-09-18 00:11:00-07:00,296.07466050000005,297.95596800000004,427.4974212999999,417.43148899999994,302.712363,253.2858547,23.900000000000002,999.5099999999999,46.242999999999995,325.8911952,71.7553151,0.0079,0.0268
2017-09-18 00:12:00-07:00,295.8152777,298.059096,427.46617019999997,417.52836700000006,303.50926229999993,254.85465250000001,23.900000000000002,999.49,46.11999999999999,325.8818199,71.7553151,0.008,0.0268
2017-09-18 00:13:00-07:00,296.1340372,298.155974,428.803711,418.05338300000005,304.88430430000005,257.2109744,23.900000000000002,999.4799999999999,46.010000000000005,325.8661944,71.72718920000001,0.0081,0.0268
2017-09-18 00:14:00-07:00,295.74027520000004,298.2778526,426.97240519999997,417.4346140999999,302.83424180000003,246.74815510000002,23.900000000000002,999.49,45.885000000000005,325.8318183,71.73656450000001,0.0081,0.0277
2017-09-18 00:15:00-07:00,296.02153400000003,298.56848659999997,425.9880001,416.4408339,303.2905057,241.31986469999998,23.860000000000003,999.53,45.855999999999995,325.8286932,71.7178139,0.008,0.027999999999999997
2017-09-18 00:16:00-07:00,295.96215700000005,298.34972999999997,426.26300860000003,416.5564623,305.47494730000005,242.61052879999997,23.840000000000003,999.5,45.794999999999995,325.7755665000001,71.72718920000001,0.0079,0.027999999999999997
2017-09-18 00:17:00-07:00,296.152788,298.45598299999995,425.51611060000005,416.26895349999995,307.4312570999999,244.4262094,23.830000000000002,999.51,45.718,325.76306609999995,71.6959382,0.0078,0.027600000000000003
2017-09-18 00:18:00-07:00,296.2371656,298.3497301,426.10362860000004,416.7470931000001,308.7375468,243.11991940000001,23.709999999999997,999.46,45.987,325.7380653,71.69593820000001,0.0076,0.0273
2017-09-18 00:19:00-07:00,295.6590228,297.97159350000004,424.9098424,416.3752066999999,310.86573689999994,242.1136387,23.699999999999996,999.49,46.066,325.7193148,71.7053135,0.0075,0.027600000000000003
2017-09-18 00:20:00-07:00,296.0371593,298.5184851,425.29110390000005,416.4283335,306.2312205,243.15742060000002,23.699999999999996,999.45,46.02700000000001,325.6818141,71.65531190000002,0.0073,0.0277
2017-09-18 00:21:00-07:00,295.6465224,298.05597090000003,425.6692406,416.6689656,307.04687040000005,242.4886502,23.699999999999996,999.45,46.05100000000001,325.67868890000005,71.6334362,0.0072,0.0273
