datetime,no2-A,no2-W,o3-A,o3-W,co-A,co-W,temperature,pressure,humidity,pt,nc,epa-o3,epa-no2,epa-temperature
2017-09-13 03:43:00-07:00,300.6966764,296.6184268999999,429.4443556,422.3191383,312.5001617,268.58319650000004,22.37,988.8899999999998,77.474,323.17548730000004,9.590917899999999,0.038,0.002,68.7
2017-09-13 03:44:00-07:00,301.57170319999994,296.94656210000005,429.98187199999995,422.42539129999994,311.33762629999995,268.3456894,22.300000000000004,988.8,76.876,323.1942379,9.653419899999998,0.037000000000000005,0.002,68.7
2017-09-13 03:45:00-07:00,300.9623096,296.5402997,429.9724967,422.59102150000007,311.8688925,269.01445970000003,22.300000000000004,988.8100000000001,76.875,323.2098634,9.6659203,0.036000000000000004,0.002,68.7
2017-09-13 03:46:00-07:00,301.0248117,296.4277962,429.9943724000001,422.3816401,309.99696029999996,268.5081943,22.300000000000004,988.78,76.86000000000001,323.1942379,9.631544199999999,0.036000000000000004,0.002,68.7
2017-09-13 03:47:00-07:00,301.19356669999996,296.60592669999994,429.31935169999997,422.51601919999996,309.3531906,268.01442910000003,22.300000000000004,988.8699999999999,76.834,323.21611359999997,9.497164899999998,0.035,0.002,68.7
2017-09-13 03:48:00-07:00,300.4997955,296.4715476,428.9693411,422.2628865,309.6125737,267.4675375,22.300000000000004,988.7499999999998,76.801,323.2348642,9.4315378,0.035,0.002,68.7
2017-09-13 03:49:00-07:00,300.67792589999993,296.8371837,429.03809309999997,422.2410108,310.6969817,268.81757870000007,22.300000000000004,988.7699999999999,76.793,323.2098634,9.415912299999999,0.036000000000000004,0.002,68.7
2017-09-13 03:50:00-07:00,301.17794130000004,296.5496751,431.1256569,422.572271,312.18765229999997,269.25821720000005,22.300000000000004,988.6899999999999,77.14200000000001,323.21923869999995,9.4127872,0.036000000000000004,0.002,68.6
2017-09-13 03:51:00-07:00,301.3841974,296.3809198,431.17565849999994,422.5285197,310.3438458,267.89567550000004,22.270000000000003,988.8,77.332,323.23486420000006,9.4190374,0.036000000000000004,0.002,68.5
2017-09-13 03:52:00-07:00,301.25919360000006,296.2121647,430.53501399999993,422.153508,309.97508459999995,268.1175575,22.199999999999996,988.8299999999999,77.148,323.22236380000004,9.4409131,0.036000000000000004,0.002,68.5
2017-09-13 03:53:00-07:00,300.9904356,296.1965392999999,430.6631429000001,422.9066561000001,310.76885880000003,268.8394542,22.199999999999996,988.8399999999999,77.11099999999999,323.19736299999994,9.4127872,0.037000000000000005,0.002,68.6
2017-09-13 03:54:00-07:00,301.0966888,296.418421,430.8850244,422.35976439999996,309.05005629999994,268.3394391,22.199999999999996,988.85,77.072,323.2036132,9.406537,0.037000000000000005,0.002,68.5
2017-09-13 03:55:00-07:00,300.79355460000005,296.06528519999995,430.35688330000005,422.3191383,308.59379260000003,268.45194260000005,22.169999999999995,988.85,77.14299999999999,323.228614,9.406537,0.036000000000000004,0.002,68.5
2017-09-13 03:56:00-07:00,300.8279307000001,296.484048,430.59126560000004,422.1347575,309.6531998,268.57694630000003,22.099999999999998,988.85,77.238,323.1942379,9.4002868,0.036000000000000004,0.002,68.5
2017-09-13 03:57:00-07:00,301.0716880000001,296.5746757,429.79436640000006,421.7003694000001,308.21253110000004,268.03005459999997,22.099999999999998,988.8399999999999,77.27599999999998,323.16923710000003,9.394036600000002,0.035,0.002,68.5
2017-09-13 03:58:00-07:00,301.1748161,296.4246713,430.6131412000001,422.3941404,308.87505109999995,268.4363171,22.099999999999998,988.82,77.33800000000001,323.16298689999996,9.4127872,0.035,0.002,68.5
2017-09-13 03:59:00-07:00,300.7216773,296.16528819999996,429.9662465,422.0066286,309.1344339,269.6863551,22.099999999999998,988.8699999999999,77.362,323.1504865,9.4159123,0.035,0.002,68.5
2017-09-13 04:00:00-07:00,301.1998168,296.4215461,430.1756279,421.6597431,308.4156621000001,267.6331675,22.099999999999998,988.9,77.41600000000001,323.1473614,9.4190374,0.035,0.002,68.5
2017-09-13 04:01:00-07:00,301.1685659,296.1402875,431.20065919999996,421.6316172,306.8781151,266.72063959999997,22.099999999999998,988.9199999999998,77.50199999999998,323.134861,9.4190374,0.036000000000000004,0.002,68.5
2017-09-13 04:02:00-07:00,301.1060641,296.3559191,430.5037629,421.72224499999993,308.60316780000005,268.33943899999997,22.089999999999996,988.9199999999998,77.55999999999999,323.10986020000007,9.4096621,0.036000000000000004,0.002,68.5
2017-09-13 04:03:00-07:00,301.1935666,296.3402937,430.74752040000004,421.67849350000006,308.14065379999994,268.4456924,22.06,988.9100000000001,77.618,323.1004849,9.406537,0.037000000000000005,0.002,68.5
2017-09-13 04:04:00-07:00,301.42169870000004,296.13403739999995,431.42566610000006,422.13788270000003,308.2906583,268.04568,22.0,988.9599999999998,77.67500000000003,323.0942347000001,9.4002868,0.036000000000000004,0.002,68.5
